,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
17254,1:30:00,AUD,Retail Sales (MoM) (May),0.006,0.003,0.001,Wednesday,20240703,AUD17254
17256,1:30:00,AUD,Exports (MoM),0.028,,-0.022,Thursday,20240704,AUD17256
17257,1:30:00,AUD,Imports (MoM),0.039,,-0.07,Thursday,20240704,AUD17257
17258,1:30:00,AUD,Trade Balance,5.773B,6.200B,6.027B,Thursday,20240704,AUD17258
17260,1:30:00,AUD,Home Loans (MoM),-0.02,0.02,0.045,Monday,20240708,AUD17260
17261,1:30:00,AUD,Invest Housing Finance (MoM),-0.013,,0.053,Monday,20240708,AUD17261
17263,19:30:00,AUD,CFTC AUD speculative net positions,-15.8K,,-23.7K,Monday,20240708,AUD17263
17264,0:30:00,AUD,Westpac Consumer Sentiment (Jul),-0.011,,0.017,Tuesday,20240709,AUD17264
17265,1:30:00,AUD,NAB Business Confidence (Jun),4,,-2,Tuesday,20240709,AUD17265
17266,1:30:00,AUD,NAB Business Survey (Jun),4,,6,Tuesday,20240709,AUD17266
17268,1:30:00,AUD,Building Approvals (MoM) (May),0.055,0.055,0.019,Wednesday,20240710,AUD17268
17269,1:30:00,AUD,Private House Approvals (May),0.021,0.021,-0.03,Wednesday,20240710,AUD17269
17271,1:00:00,AUD,MI Inflation Expectations,0.043,,0.044,Thursday,20240711,AUD17271
17273,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Jul),48.19,,50.48,Friday,20240712,AUD17273
17275,19:30:00,AUD,CFTC AUD speculative net positions,2.4K,,-15.8K,Friday,20240712,AUD17275
17277,1:00:00,AUD,MI Leading Index (MoM) (Jun),0,,0,Wednesday,20240717,AUD17277
17279,1:30:00,AUD,Employment Change (Jun),50.2K,19.9K,39.5K,Thursday,20240718,AUD17279
17280,1:30:00,AUD,Full Employment Change (Jun),43.3K,,41.3K,Thursday,20240718,AUD17280
17281,1:30:00,AUD,NAB Quarterly Business Confidence,-1,,-2,Thursday,20240718,AUD17281
17282,1:30:00,AUD,Participation Rate (Jun),0.669,0.668,0.668,Thursday,20240718,AUD17282
17284,1:30:00,AUD,Reserve Assets Total (Jun),93.4B,,93.0B,Thursday,20240718,AUD17284
17285,1:30:00,AUD,Unemployment Rate (Jun),0.041,0.041,0.04,Thursday,20240718,AUD17285
17287,19:30:00,AUD,CFTC AUD speculative net positions,2.4K,,2.4K,Friday,20240719,AUD17287
17289,23:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.4,,47.2,Tuesday,20240723,AUD17289
17290,23:00:00,AUD,Judo Bank Australia Services PMI,50.8,,51.2,Tuesday,20240723,AUD17290
17292,19:30:00,AUD,CFTC AUD speculative net positions,-8.8K,,2.4K,Friday,20240726,AUD17292
17294,1:30:00,AUD,Building Approvals (YoY) (Jun),0.098,,0.15,Tuesday,20240730,AUD17294
17295,1:30:00,AUD,Building Approvals (MoM) (Jun),-0.065,-0.021,0.057,Tuesday,20240730,AUD17295
17296,1:30:00,AUD,Private House Approvals (Jun),-0.005,,0.019,Tuesday,20240730,AUD17296
17298,1:30:00,AUD,CPI (QoQ) (Q2),0.01,0.01,0.01,Wednesday,20240731,AUD17298
17299,1:30:00,AUD,CPI (YoY) (Q2),0.038,0.038,0.036,Wednesday,20240731,AUD17299
17300,1:30:00,AUD,CPI Index Number (Q2),138.8,,137.4,Wednesday,20240731,AUD17300
17301,1:30:00,AUD,Housing Credit (Jun),0.004,0.004,0.004,Wednesday,20240731,AUD17301
17302,1:30:00,AUD,Private Sector Credit (MoM) (Jun),0.006,0.004,0.004,Wednesday,20240731,AUD17302
17303,1:30:00,AUD,Retail Sales (MoM) (Jun),0.005,0.002,0.006,Wednesday,20240731,AUD17303
17304,1:30:00,AUD,Retail Sales (QoQ) (Q2),-0.003,,-0.004,Wednesday,20240731,AUD17304
17305,1:30:00,AUD,Trimmed Mean CPI (YoY) (Q2),0.039,0.04,0.04,Wednesday,20240731,AUD17305
17306,1:30:00,AUD,Trimmed Mean CPI (QoQ) (Q2),0.008,0.01,0.01,Wednesday,20240731,AUD17306
17307,1:30:00,AUD,Monthly CPI Indicator (YoY) (Jun),0.038,0.038,0.04,Wednesday,20240731,AUD17307
17308,1:30:00,AUD,Weighted mean CPI (YoY) (Q2),0.041,0.043,0.044,Wednesday,20240731,AUD17308
17309,1:30:00,AUD,Weighted mean CPI (QoQ) (Q2),0.008,0.01,0.011,Wednesday,20240731,AUD17309
17311,23:00:00,AUD,Judo Bank Australia Manufacturing PMI (Jul),47.5,47.4,47.2,Wednesday,20240731,AUD17311
17312,1:30:00,AUD,Export Price Index (QoQ) (Q2),-0.059,,-0.021,Thursday,20240801,AUD17312
17313,1:30:00,AUD,Exports (MoM) (Jun),0.017,,0.013,Thursday,20240801,AUD17313
17314,1:30:00,AUD,Import Price Index (QoQ) (Q2),0.01,-0.009,-0.018,Thursday,20240801,AUD17314
17315,1:30:00,AUD,Imports (MoM) (Jun),0.005,,0.033,Thursday,20240801,AUD17315
17316,1:30:00,AUD,Trade Balance (Jun),5.589B,5.080B,5.052B,Thursday,20240801,AUD17316
17318,6:30:00,AUD,Commodity Prices (YoY) (Jul),-0.03,,-0.035,Thursday,20240801,AUD17318
17319,1:30:00,AUD,Home Loans (MoM) (Jun),0.005,-0.01,-0.019,Friday,20240802,AUD17319
17320,1:30:00,AUD,Invest Housing Finance (MoM),0.027,,-0.013,Friday,20240802,AUD17320
17321,1:30:00,AUD,PPI (QoQ) (Q2),0.01,0.01,0.009,Friday,20240802,AUD17321
17322,1:30:00,AUD,PPI (YoY) (Q2),0.048,,0.043,Friday,20240802,AUD17322
17324,19:30:00,AUD,CFTC AUD speculative net positions,-31.4K,,-8.8K,Friday,20240802,AUD17324
17326,23:00:00,AUD,Judo Bank Australia Services PMI,50.4,50.8,51.2,Sunday,20240804,AUD17326
17327,1:00:00,AUD,MI Inflation Gauge (MoM) (Jul),0.004,,0.003,Monday,20240805,AUD17327
17329,1:30:00,AUD,ANZ Job Advertisements (MoM) (Jul),-0.03,,-0.027,Tuesday,20240806,AUD17329
17330,1:30:00,AUD,Building Approvals (MoM) (Jun),-0.065,-0.065,0.055,Tuesday,20240806,AUD17330
17331,1:30:00,AUD,Private House Approvals (Jun),-0.005,-0.005,0.019,Tuesday,20240806,AUD17331
17333,4:30:00,AUD,RBA Interest Rate Decision (Aug),0.0435,0.0435,0.0435,Tuesday,20240806,AUD17333
17336,23:00:00,AUD,AIG Construction Index (Jul),-20.7,,-23.2,Tuesday,20240806,AUD17336
17337,23:00:00,AUD,AIG Manufacturing Index (Jul),-19.5,,-26.5,Tuesday,20240806,AUD17337
17342,19:30:00,AUD,CFTC AUD speculative net positions,-40.2K,,-31.4K,Friday,20240809,AUD17342
17344,0:30:00,AUD,Westpac Consumer Sentiment (Aug),0.028,0.005,-0.011,Tuesday,20240813,AUD17344
17345,1:30:00,AUD,NAB Business Confidence (Jul),1,,3,Tuesday,20240813,AUD17345
17346,1:30:00,AUD,NAB Business Survey (Jul),6,,4,Tuesday,20240813,AUD17346
17347,1:30:00,AUD,Wage Price Index (YoY) (Q2),0.041,,0.041,Tuesday,20240813,AUD17347
17348,1:30:00,AUD,Wage Price Index (QoQ) (Q2),0.008,0.009,0.009,Tuesday,20240813,AUD17348
17350,1:00:00,AUD,MI Inflation Expectations (Aug),0.045,,0.043,Thursday,20240815,AUD17350
17351,1:30:00,AUD,Employment Change (Jul),58.2K,20.2K,52.3K,Thursday,20240815,AUD17351
17352,1:30:00,AUD,Full Employment Change (Jul),60.5K,,45.2K,Thursday,20240815,AUD17352
17353,1:30:00,AUD,Participation Rate (Jul),0.671,0.669,0.669,Thursday,20240815,AUD17353
17354,1:30:00,AUD,Reserve Assets Total (Jul),96.2B,,93.4B,Thursday,20240815,AUD17354
17355,1:30:00,AUD,Unemployment Rate (Jul),0.042,0.041,0.041,Thursday,20240815,AUD17355
17359,19:30:00,AUD,CFTC AUD speculative net positions,-42.6K,,-40.2K,Friday,20240816,AUD17359
17363,1:00:00,AUD,MI Leading Index (MoM) (Jul),0,,0,Wednesday,20240821,AUD17363
17365,23:00:00,AUD,Judo Bank Australia Manufacturing PMI (Aug),48.7,,47.5,Wednesday,20240821,AUD17365
