,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16533,12:30:00,CAD,Participation Rate (Jun),0.653,,0.654,Friday,20240705,CAD16533
16534,12:30:00,CAD,Unemployment Rate (Jun),0.064,0.063,0.062,Friday,20240705,CAD16534
16535,14:00:00,CAD,Ivey PMI n.s.a (Jun),62.4,,59.1,Friday,20240705,CAD16535
16536,14:00:00,CAD,Ivey PMI (Jun),62.5,53,52,Friday,20240705,CAD16536
16538,19:30:00,CAD,CFTC CAD speculative net positions,-120.4K,,-122.4K,Monday,20240708,CAD16538
16540,15:00:00,CAD,Thomson Reuters IPSOS PCSI (MoM) (Jul),46.97,,47.14,Wednesday,20240710,CAD16540
16542,12:30:00,CAD,Building Permits (MoM) (May),-0.122,-0.05,0.234,Friday,20240712,CAD16542
16543,19:30:00,CAD,CFTC CAD speculative net positions,-111.2K,,-120.4K,Friday,20240712,CAD16543
16545,12:30:00,CAD,Manufacturing Sales (MoM) (May),0.004,0.003,0.011,Monday,20240715,CAD16545
16546,12:30:00,CAD,New Motor Vehicle Sales (MoM),184.7K,,175.1K,Monday,20240715,CAD16546
16547,12:30:00,CAD,Wholesale Sales (MoM) (May),-0.008,0.02,0.024,Monday,20240715,CAD16547
16550,12:15:00,CAD,Housing Starts (Jun),241.7K,255.0K,264.9K,Tuesday,20240716,CAD16550
16551,12:30:00,CAD,Common CPI (YoY) (Jun),0.023,0.024,0.024,Tuesday,20240716,CAD16551
16552,12:30:00,CAD,Core CPI (YoY) (Jun),0.019,,0.018,Tuesday,20240716,CAD16552
16553,12:30:00,CAD,Core CPI (MoM) (Jun),-0.001,,0.006,Tuesday,20240716,CAD16553
16554,12:30:00,CAD,CPI (YoY) (Jun),0.027,,0.029,Tuesday,20240716,CAD16554
16555,12:30:00,CAD,CPI (MoM) (Jun),-0.001,0.001,0.006,Tuesday,20240716,CAD16555
16556,12:30:00,CAD,Median CPI (YoY) (Jun),0.026,0.027,0.027,Tuesday,20240716,CAD16556
16557,12:30:00,CAD,Trimmed CPI (YoY) (Jun),0.029,0.028,0.029,Tuesday,20240716,CAD16557
16559,12:30:00,CAD,Foreign Securities Purchases (May),20.89B,,41.05B,Wednesday,20240717,CAD16559
16560,12:30:00,CAD,Foreign Securities Purchases by Canadians (May),3.860B,,0.680B,Wednesday,20240717,CAD16560
16562,12:30:00,CAD,Core Retail Sales (MoM) (May),-0.013,-0.005,0.017,Friday,20240719,CAD16562
16563,12:30:00,CAD,IPPI (MoM) (Jun),0,0.002,0.002,Friday,20240719,CAD16563
16564,12:30:00,CAD,IPPI (YoY) (Jun),0.028,,0.021,Friday,20240719,CAD16564
